shastragaar,शस्त्रागार
vedavalli,वेदवल्ली
judum,जुड़ुम
somavamshis,सोमवमेश
gangana,गंगाना
kachuo,कछुओ
bhavasana,भावासन
ramjash,रामजश
charishth,चरिष्ठ
vanderbilt,वैन्डरबिल्ट
sansthadhyaksh,संस्थाध्यक्ष
muttamsetti,मुत्तमसेट्टी
dinase,दिनसे
badakistamati,बदकिस्तमती
akshrash,अक्षरश
nyaayaadhishan,न्यायाधीशन
kuthaputali,कुठपुतली
osei,ओसेई
jangalaram,जंगलाराम
netaanumaa,नेतानुमा
priortise,प्रायरटाइज़
polycarbonate,पोलीकारबोनेट
macropodidae,मैक्रोपोडिडे
padapasoon,पदापासून
vastivikta,वास्तिविकता
quebucky,क्यूबकी
gudru,गुडरू
talwaaron,तलवारों
ghodon,घोड़ों
rajmane,राजमाने
tubeless,टयूबलेस
khalipe,खलिपे
kaashini,काशिनी
marangabari,मरंगाबारी
mcnero,मैक्नेरो
khida,खिड़ा
vidvesh,विद्वेष
pasru,पसरू
ambalangodage,अंबालानगोदागे
pyajalahasun,प्याजलहसुन
muazmul,मुअजमुल
commodore,कोमोडार
mulambarobar,मुलांबरोबर
isma,इस्मा
patnibhi,पत्नीभी
tanishaa,तनिषा
taanpaathak,तानपाठक
anganbadiyan,आंगनबाड़ियां
cornonation,कोरोनेशन
sthaapnevar,स्थापनेवर
kabita,कबीता
adhikatamvadi,अधिकतमवादी
gaunhariyon,गौनहरियों
casp,सीएएसपी
preshani,प्रेशानी
bidhiyani,बिधियानी
bhagautiprasad,भगौतीप्रसाद
kamalanandji,कमलानंदजी
fatuhpur,फतुहपुर
mallasur,मल्लासुर
adhikhari,अधिखारी
eggeling,अजिलिंग
yanchyabarobarchya,यांच्याबरोबरच्या
kadalundi,कडालुंदी
tajaavuz,तजावुज़
indalkar,इंदलकर
tatvamimansiya,तत्वमीमांसीय
kudo,कुडो
naikoo,नाइकू
alaudi,अलाउदी
cumilla,कोमिल्ला
forencesic,फोरेंसेसिक
mubage,मुबागे
mantrikamalesh,मंत्रीकमलेश
senajori,सेनाजोरी
nahrosa,नहरोसा
ekjatuta,एकजटुता
addictions,एडिक्शन्स
truckwale,ट्रकवाले
udayanthali,उदयनतली
buying,बाईंग
namonist,नैमोनिस्ट
shellenberg,शैलेनबर्ग
prashasika,प्रशसिका
atonautics,एटोनॉटिक्स
badhali,बधाली
militerized,मिलिटराइज्ड
udhomporn,उधोमपोर्न
khukan,खुकन
yuddhakal,युद्धकाल
jinns,जिन्नों
rajmit,राजमित
shaaktipeeth,शाक्तिपीठ
gadhvi,गढवी
salonke,सालोंके
bsf,बीएसएफ
mullanpur,मुलानपुर
tapaasane,तपासने
gogh,गोफ
parbhakshan,परभक्षण
paleozoic,पैलियोज़ोइक
mungalia,मुंगालिया
cheruiyot,चेरुईयोट
jayaswal,जायसवाल
rakshakon,राक्षकों
bubakpur,बूबकपुर
heral,हेरल
janadhara,जनाधारा
ipr,आईपीआर
bardaha,बरदहा
nakshae,नक्शे
desarda,देसारदा
kepravesh,केप्रवेश
propgande,प्रोपगंडे
hotelon,होटलों
laghuavadhi,लघुअवधि
kokamba,कोकंबा
neelvaran,नीलवरण
nirdayta,निर्दयता
mehdele,महदेले
indramaninagar,इन्द्रमणिनगर
asaraar,असरार
ravivaaron,रविवारों
praaptakarne,प्राप्तकरने
sapolon,सपोलों
bonham,बोन्हम
kaanjeevaram,काँजीवरम
miskin,मिसकीन
niyuktine,नियुक्तीने
dipaartmaint,डिपार्टमैंट
tobin,टोविन
narpungav,नरपुंगव
thiruporur,तिरुपोरूर
complained,कंप्लेंड
bentaperu,बेंतापेरू
norebro,नोरेब्रो
fuldol,फुलडोल
wirakta,विरक्त
vriht,वृहत
mayanti,मयंती
andyarjuna,अंद्यार्जुना
padhaayen,पढ़ाएं
hitlaabhon,हितलाभों
mesmadhye,मेसमध्ये
masabo,मसाबो
vichardhapra,विचारधापरा
rudraaksh,रूद्राक्ष
geotagged,जियोटैग्ड
lagaaer,लगाएर
janpituri,जनपितुरी
patkathaon,पटकथाओं
dhanaadeish,धनादेश
venek,वेनेक
phuldhar,फुलधर
sharathakamal,शरथकमल
fortuners,फॉर्च्यूनर्स
pathere,पथेरे
crickbattle,क्रिकबैटल
railwaygadyanche,रेल्वेगाड्यांचे
madhukant,मधुकान्त
avanshika,अवंशिका
eyenuk,आईनुक
lekhapani,लेखापानी
asalyasandarbhat,असल्यासंदर्भात
lenderking,लेन्डरकिंग
jafarkuli,जाफरकुली
pedretti,पेड्रेटी
namathu,नमाथु
pavolav,पावोलाव
lyaauunla,ल्याऊँला
tadastu,तदस्तु
ticketmaster,टिकटमास्टर
garbhayukt,गर्भयुक्त
shaigo,शाइगो
najang,नजंग
biranpur,बिरनपुर
fooldaanon,फूलदानों
poonagundram,पूनगुन्द्रम
ingrajaanpeksha,इंग्रजांपेक्षा
bramhashakti,ब्रम्हाशक्ति
hamidu,हमीदू
moments,मूमेंट्स
jugaade,जुगाड़े
dhiren,धीरेन
anoom,अनूम
vaibhavvaibhav,वैभववैभव
tehkeer,तहकीर
bemouke,बेमौके
padelkar,पाडेलकर
tindouf,टिंडौफ
bhaalak,भालक
amukhya,अमुख्य
setwell,सेटवेल
khatiyaya,खतियाया
chn,छन
naainsaafi,नाइंसाफ़ी
ichonia,इचोनिया
dholwadkanche,ढोलवादकांचे
anuradhapaudwal,अनुराधापौड़वाल
sudharawa,सुधारावा
shehra,शेहरा
chilarai,शिलाराई
arrival,अराईवल
propublica,प्रोपब्लिका
sultanvur,सुलतानवुर
badheen,बढीं
rasawat,रसावत
jilwa,जिलवा
jarmila,जरमिला
matdanapurvicha,मतदानापूर्वीचा
mishaailon,मिशाइलों
instruction,इन्स्ट्रक्शन
varadar,वरदर
karyakarni,कार्यकारिणी
mirveet,मिरवीत
elidability,एलिडिबिलिटी
saboy,सबॉय
gramsi,ग्रामसी
parli,पर्ली
maharim,महारिम
umhe,उम्हे
shubhechhapatre,शुभेच्छापत्रे
shivlalpura,शिवलालपुरा
manasooba,मनसूबा
rojgarababat,रोजगाराबाबत
pravartana,प्रवर्तन
khedin,खेडिन
baithejarman,बैठेजर्मन
botaini,बोटैनी
pratapgarhi,प्रतापगढी
lumpkin,लंपकिन
radioisotope,रेडियोआइसोटोप
locantion,लोकेंशन
svnm,एसवीएनएम
panraj,पनराज
yungblooth,युंगब्लूथ
dkdca,डीकेडीसीए
nesoochak,नेसूचक
flushdoor,फ्लशडोर
shivatirthajaval,शिवतीर्थजवळ
ruhiya,रूहिया
bhumlesh,भूमलेश
parasyclist,पैरासाइक्लिस्ट
thopade,थोपड़े
vyavahaayarta,व्यवहायर्ता
paparolavasiyon,पपरोलावासियों
saarkegudaa,सारकेगुड़ा
everonet,एवरोनेट
vasthanji,वास्थानजी
sanctuary,सैंचुरी
luazzo,लुआजो
pamolhin,पामोलहीन
prathatikta,प्राथतिकता
mkh,एमकेएच
chutkara,चुटकारा
philomen,फिलोमेन
darshaniyata,दर्शनीयता
itmeenaan,इतमीनान
todanevaale,तोड़नेवाले
morahabadi,मोरहाबादी
avgunkari,अवगुणकारी
milindpanh,मिलिन्दपन्ह
lalthangliana,लालथंगलिआना
deniwali,देनीवाली
pushparajaye,पुष्पराजये
ponis,पोनिस
saifa,सैफा
kshetrafalasathi,क्षेत्रफळासाठी
vingon,विंगों
aasthaapanechi,आस्थापनेची
telecommuting,टेलीकम्युटिंग
brekht,ब्रेख्ट
giddadbah,गिद्दड़बाह
phoolpyara,फूलप्यारा
sterilisation,स्टरलाइजेशन
balanced,बैलंस्ड
ittagi,इट्टागी
dootvaas,दूतवास
tathawade,टाथावड़े
bandigriha,बंदीगृह
configurations,कॉन्फिग्युरेशंस
thermosets,थर्मोसेट्स
shatruvriddhi,शत्रुवृद्धि
dhyala,ध्याला
byrati,बिराति
alphanumeric,अल्फ़ान्यूमरिक
ported,पोर्टेड
sarvapakshiyanche,सर्वपक्षीयांचे
simplealern,सिंप्लीलर्न
buraaiyaan,बुराईयाँ
dukhkar,दुखकर
tarja,तारजा
surjewal,सुरजेवाल
gosainkunda,गोसाईंकुंड
anibaryata,अनिबार्यता
carbony,कार्बोनी
burstee,बर्स्टी
canvasing,कैन्वेसिंग
muktiyuddh,मुक्तियुद्ध
dalalisathi,दलालीसाठी
bindra,बिंदरा
kheldivas,खेलदिवस
jauki,जौकी
parmujhe,परमुझे
balikuda,बालिकुडा़
rodjam,रोडजाम
peepalner,पीपलनेर
uthirapati,उथिरापति
lamdun,लॉडून
incest,इन्सेस्ट
pritibala,प्रितिबाला
jorden,जार्डन
pashtikaran,पष्टीकरण
commandation,कमांडेशन
adaraniya,अदरणीय
janchta,जांचता
faganistan,फगानिस्तान
shwaasarogon,श्वासरोगों
binex,बिनेक्स
silbili,सिलबिली
khandail,खंडैल
swaatantrayottar,स्वातंत्रयोत्तर
jambudeep,जंबूदीप
praakatt,प्राक़त
kimiparyantchi,किमीपर्यंतची
bhavkrit,भावकृत
villar,विल्लार
yuvrani,युवरानी
srijanpal,सृजनपाल
linaro,लिनारो
iidl,आईआईडीएल
maithunachar,मैथुनाचार
aurel,औरेल
dekhakaar,देखकार
voltro,वोल्ट्रो
khatoli,खातोली
bangamahila,बंगमहिला
saptadashaikam,सप्तदशैकम्
vyutpati,व्युत्पति
ramchandradev,रामचंद्रदेव
bayyenat,बय्येनात
pratitinidhi,प्रतितिनिधि
parhedari,परहेदारी
pataayega,पटाएगा
clutchless,क्लचलेस
digdarshakanni,दिग्दर्शकांनी
peedaaen,पीड़ाएँ
badbox,बैडबाक्स
avamaanankarta,अवमाननकर्ता
jamnani,जमनानी
gohito,गोहितो
kharabarwala,खाराबरवाला
kartavyachi,कर्तव्याची
ramparikha,रामपरीखा
bankoda,बनकोड़ा
karavatti,कारावत्ती
jasota,जसोता
nanapondha,नानापोंढा
immunomodalator,इम्युनोमोडालेटर
gomeka,गोमेका
choda,चोड़ा
jhadatin,झड़तीं
granthamadhye,ग्रंथामध्ये
sankatavar,संकटावर
speakerchya,स्पीकरच्या
demartmadhye,डिमार्टमध्ये
shailendra,शलेंदर
chilsara,चिलसरा
batish,बातिश
dungi,ढुंगी
resistance,रेसिस्टेंस
altman,एल्ट्मैन
postsynaptic,पोस्टसिनेप्टिक
padmsinh,पदमसिंह
dabawacha,दबावाचा
janadharon,जनाधारों
vighnachi,विघ्नाची
equations,इक्वेशंस
vrihadrathpur,वृहद्रथपुर
timbleck,टिम्बलेक
pasarvun,पसरवुन
washers,वाशर्स
palakurali,पालाकुराली
dawamukti,दावामुक्ति
chummon,चुम्मों
florescence,फ्लोरेसेन्स
wickremasinghe,विक्रमसिंघे
kishu,किशु
aznal,अज़नाल
imbroidery,इंब्रॉयडरी
aadolnat,आदोलनात
baurasi,बौरासी
sabbarwal,सब्बरवाल
badsiwal,बड़सीवाल
rapose,रापोज
virtually,विर्चुअली
ozaarak,ओज़ारक
muharikala,मुहारीकला
laapiye,लापिए
byorvara,ब्यौरेवार
shankhadhvani,शंखध्वनि
davapar,दवापर
kanhaiyapur,कन्हैयापुर
lakshampur,लक्ष्मपुर
jaurabar,जौराबर
broz,ब्रोज़
naimun,नाइमन
puraskarswarup,पुरस्कारस्वरुप
vishakhapat,विशाखापट
bhavantar,भावान्तर
chhatripur,छतरीपुर
sheelmati,शीलमति
photoharu,फोटोहरू
mastansingh,मस्तानसिंह
kuchunni,कुचुन्नी
atev,अतेव
abhichandani,अभिचंदानी
anjaw,अन्जाव
fedo,फेडो
madhyapresh,मध्यप्रेश
tiruvellur,तिरुवेल्लूर
banaaden,बनादें
tyakshi,त्याक्षी
domination,डोमिनेशन
pashuvikta,पाशुविकता
vasuliwale,वसुलीवाले
satkaramurti,सत्कारमूर्ति
ebony,एबोनी
metagenomics,मेटाजीनोमिक्स
khanuck,खनक
shriefer,श्रीफर
shtevarni,श्तेवर्णी
jamyai,जम्याई
chandgiri,चंदगिरी
tadanukram,तदनुक्रम
pradat,प्रदत
ujjyini,उज्जयिनी
dharmakshetra,धर्मक्षेत्र
altern,अल्टर्न
behavioural,बिहेवियरल
karyakartasab,कार्यकर्तासब
muktikal,मुक्तिकाल
yasarkhi,यासारखी
bhaktanandavardhan,भक्तानन्दवर्धन
elengoted,इलेंगोटेड
sangathanshakti,संगठनशक्ति
ratnajadit,रत्नजडित
naoko,नाओको
gutiyadar,गुटियादार
rakharkhan,रखरखान
progestogen,प्रोजेस्टोजन
kalachkranusar,कालचक्रानुसार
shrikhande,श्रीखण्डे
klushit,कलुषित
motalo,मोटलो
flaps,फ्लेप्स
chintyam,चिन्त्यम्
bandnak,बंदनाक
albathali,अलबाथाली
soeda,सोएदा
thanpir,थानपीर
numoury,न्यूमरी
indigen,इंडीजेन
impersonators,इंपर्सोनेटर्स
accreditation,एक्रीडिएशन
manyaket,मान्यकेट
odiobooks,ओडियोबुक्स
interrective,इंटररेक्टिव
minnatein,मिन्नातें
rajako,राजाको
bithi,बीती
vadodia,वडोदिया
saidullapur,सैदुल्लापुर
proteinomics,प्रोटीनोमिक्स
samyakdarshan,सम्यक्दर्शन
biloute,बिलौटे
sumedya,सुमेद्य
daaruhaldee,दारुहल्दी
mihagh,मिहाग
vinjit,विनजीत
khirate,खिरते
kheleao,खेलियो
comfortline,कंफर्टलाइन
kohbar,कोहबर
dhanaay,धनाय
wattal,वट्टल
tumukuru,तुमकुरू
driny,ड्रिनी
samsthanik,संस्थानिक
bachini,बचीनी
gima,जीआईएमए
hadyesh,हदयेश
fulayal,फुलायल
miyalal,मियालाल
lajhukhar,लझुखर
setinye,सेटिन्ये
vedbabu,वेदबाबू
chokaane,चोकाने
forane,फोरेेन
khivaada,खिवाड़ा
bandhkamchya,बांधकामच्या
sukkhewala,सुक्खेवाला
pyaere,प्यारे
nrishanstaon,नृशंसताओं
pahchaanpatron,पहचानपत्रों
herodotus,हिरॉडटस
ballamon,बल्लमों
gatividhit,गतिविधित
poyala,पोयाला
warrenhestings,वारेनहेस्टिंग्स
khumbh,खुम्भ
laddaram,लद्दाराम
basuapur,बसुआपुर
dhaklawi,ढकलावी
navpashanyug,नवपाषाणयुग
laisenson,लाइसेसों
gatakkar,गटककर
pragatishi,प्रगतिशी
sudexo,सुडेक्सो
hadakaayega,हड़काएगा
muhammd,मुहम्मद
indpendet,इंडपेंडेट
jashmdeed,जश्मदीद
chukaaun,चुकाऊँ
uterised,यूटराइज्ड
addrestosterone,एड्रेस्टोस्टेरोन
madaba,मदाबा
unchaahaa,ऊंचाहा
violean,वायलियन
pliover,प्लाइओवर
divasahi,दिवसाही
podidih,पोड़ीडीह
hobala,होबाला
ulgi,उल्गी
sunwaha,सुनवाहा
familiarization,फेमिलियराइज़ेशन
sokhiyaan,सोखियां
nidaanmoolak,निदानमूलक
stanpatni,स्तनपत्नी
deligation,डेलिगेशन
gheesenge,घीसेंगे
susangathi,सुसंगति
toller,टोलर
shahajahanpur,शाहाजहांपुर
pjt,पीजेटी
smithkleen,स्मिथक्लीन
morod,मोरोड
waziri,वजिरी
ronghang,रोंगहांग
hastavigyan,हस्तविज्ञान
vladmira,व्लादिमिरा
amurtataon,अमूर्तताओं
kshetrapalnagar,क्षेत्रपालनगर
gayaahuun,गयाहूँ
hanspura,हंसपुरा
lossum,लोसम
zoser,ज़ोसेर
dincharyet,दिनचर्येत
saadhiyo,साधियो
lashminarayan,लष्मीनारायण
mubarakganj,मुबारकगंज
hastanantarit,हस्तानांतरित
jarpi,जारपी
tulsika,तुलसीका
entropy,एन्ट्रापी
jeevansuraksha,जीवनसुरक्षा
madhyapradeshne,मध्यप्रदेशने
ratubat,रतूबत
rajnitkant,रजनीतकांत
telnade,तेलनाडे
basavasiddhalinga,बसवसिद्धलिंग
foebe,फोएबे
kishouraa,किशोरा
kutiyaan,कुटियाँ
vaspur,वासपुर
nivaaranke,निवारणके
sukhminderpal,सुखमिंद्रपाल
clements,क्लीमेंट्स
vidhansabhai,विधानसभाई
pendimithalin,पेण्डीमिथालिन
barahmahal,बारहमहल
kleber,क्लेबर
ujjawla,उज्जवला
alalytica,एलालिटिका
jinso,जिन्सो
bulbourethral,बल्बोयूरेथ्रल
bhikhmanga,भिखमंगा
dhandaulat,धनदौलत
vanhain,वन्हैं
popolo,पोपोलो
tear,टेअर
tolab,तोलब
shivdeep,शिवदीप
andres,आंद्रियास
kalidasji,कालीदासजी
saahityaadi,साहित्यादि
mukarram,मुकर्रम
nivriti,निवृति
laghvidware,लघवीद्वारे
rudresh,रूद्रेश
sheikhupura,शेखुपुरा
kassimova,कस्सीमोवा
potomac,पोटोमैक
doshpurn,दोषपूर्ण
imlal,इमलाल
shantaraju,शांताराजू
hastakshyukt,हस्ताक्षयुक्त
vijarvargir,विजरवर्गीर
beimaniyaan,बेइमानियाँ
mannadir,मन्नदिर
kenthola,केंथोला
kolamdalm,कोलामंडलम
phalankon,फलांकों
religions,रिलीजन
edelade,एडीलेड
semdhar,सेमधार
spitvilla,स्पिटविला
kasailapan,कसैलापन
bhashanbajila,भाषणबाजीला
bashing,बैशिंग
jared,जेरेड
kalarbanka,कलारबंका
hummels,हुमेल्स
jaayi,जायी
johti,जोहती
csif,सीएसआइएफ
simplifly,सिम्पलीफ्लाई
khandvishesh,खंडविशेष
naraane,नराने
satoy,सतोय
sanskritprachur,संस्कृतप्रचुर
laughlin,लागलिन
sahnawal,साहनेवाल
beechcraft,बीचक्राफ्ट
mohaware,मोहावरे
dutra,दुत्रा
ladoongi,लड़ूँगी
temperal,टेम्परल
gaharebaji,गहरेबाजी
shivlahari,शिवलहरी
vichakshanshree,विचक्षणश्री
nigadhu,निगधू
adrisht,अदृष्ट
kolaavaree,कोलावरी
karyakin,कार्याकिन
promashan,प्रोमाशन
natyanubhav,नाट्यानुभव
jhulari,झुलरी
punarajjivit,पुनरज्जीवित
stanlis,स्टानलिस
belgian,बेलजियन
tungamulongo,टुंगामुलोंगो
rekhaachitran,रेखाचित्रण
chatthaanon,चट्ठानों
gelhar,गेलहर
mannarath,मन्नारथ
dambangon,दंबंगों
bekh,बेख
bottel,बॉटेल
oxytoxin,ऑक्सीटोक्सिन
gorakhdhandhon,गोरखधन्धों
muskurahat,मुस्कुराहाट
ranidih,रानीडीह
qingdao,किंग्दाओ
sokani,सोकनी
blinded,ब्लाइंड
bujhaati,बुझाती
singhawali,सिंघावली
jujnaa,जूझना
shahanshaahon,शहनशाहों
jhaatke,झाटके
lightke,लाइटके
devghara,देवघरा
jamoja,जामोजा
redwini,रेडविनी
molecule,मोलेक्युल
balignabalig,बालिगनाबालिग
putty,पुटीन
santaldih,संतालडिह
niklaya,निकलिया
namki,नमकी
rammool,राममूल
barsingha,बरसिंघा
sundartapurna,सुन्दरतापूर्ण
nirjeev,निर्जीव
jhana,झन्
plasmid,प्लाज्मिड
shanivarpramanech,शनिवारप्रमाणेच
sketcher,स्केचर
dhanmalad,धन्मलाद
meyera,मेयेरा
modschool,मॉडस्कूल
lokvimukh,लोकविमुख
juyan,जुयान
doraga,दोरागा
flouride,फ्लोराइड
bhaganagare,भागानगरे
borlaug,बोरलॉग
modin,मोड़ीं
pachaaoyege,पचाओएगे
rashmidhar,रश्मिधर
inflatable,इन्फ्लेटेबल
khoman,खोमान
brouser,ब्राउजर
ankashastriya,अंकशास्त्रीय
uplibdh,उपलिब्ध
jamaaye,जमाये
abhijitchya,अभिजितच्या
ajnoi,अजनोई
nawadiha,नवाडीहा
baagadoo,बागड़ू
laundebaaji,लौंडेबाजी
dofasco,दोफास्को
schneider,श्नेडर
garood,गरूड़
praiton,प्रेतों
udyeshaya,उद्येशय
wahhabis,वहाबिस
berah,बेरह
jerevan,येरेवान
fofawate,फोफावते
sushirchandra,सुशीरचन्द्र
andolanrat,आन्दोलनरत
kottakkal,कोट्टकल
hibernation,हाइबर्नेशन
felicidad,फेलिसिडैड
ghabrai,घबराई
uthvalyanantardekhil,उठवल्यानंतरदेखील
kristalikaran,क्रिस्टलीकरण
loire,लोइरे
havsha,हवशा
harrabiji,हर्राबीजी
santokh,सन्तोख
rajmohini,राजमोहनी
dinche,दिनचे
plymouth,प्लायमाउथ
kajriwal,काजरीवाल
sagarraj,सागरराज
mahapalikeladekhil,महापालिकेलादेखील
matrimonial,मैट्रिमोनीयल
oshiya,ओशिया
ambikaprasad,अम्बिकाप्रसाद
ityayadi,इत्ययादी
kaamnaye,कामनाएँ
mahakaayen,महकायें
utsavanuma,उत्सवनुमा
hohwa,होहवा
yogyajanshreni,योग्यजनश्रेणी
incidences,इंसीडेंस
jhokoongin,झोकूँगीं
gunvattadharak,गुणवत्ताधारक
sundarban,सुंदरवन
karnaya,करनाया
karmchaariryon,कर्मचारिर्यों
borl,बीओआरएल
mehmanwazi,मेहमानवाज़ी
bhezaafraai,भेज़ाफ़्राई
maabhid,मआबिद
takaazaa,तकाजा
bhalui,भलुई
abhyaskantun,अभ्यासकांतून
diariyan,डायरियां
nondiscrimination,नॉनडिस्क्रिमिनेशन
nuclei,न्यूक्लिएई
saamagriyo,सामग्रियों
adarshnagar,आदर्शनगर
kshaarbaag,क्षारबाग
paihrajwas,पैहराजवास
thaanaon,थानाओं
jalya,जल्या
emo,इएमओ
patneeparast,पत्नीपरस्त
geldman,गेल्डमैन
loadser,लोडसर
yangchoping,यांगचोपिंग
gadhake,गढ़के
sunas,सुनास
shehanaai,शेहनाई
shardulji,शार्दूलजी
pattencherru,पट्टेनचेरु
bhargo,भार्गो
mksp,एमकेएसपी
numbard,नंबर्ड
thodebahut,थोड़ेबहुत
chartist,चार्टिस्ट
kishnarelwani,किशनरेलवानी
jharvaalo,झरवालो
chhilga,छिलगा
machineskert,मशीनस्कर्ट
ghattah,घट्ह
satawa,सतावा
decki,डेकी
vaishnavamtabja,वैष्णवमताब्ज
ayamma,अयम्मा
kumbhsingh,कुम्भसिंह
continuous,कंटीन्यूअस
punekaranshi,पुणेकरांशी
chitrabhanu,चित्रभानू
shuppim,शुप्पीम
callie,कैली
compressormadhye,कॉम्प्रेसरमध्ये
govindachami,गोविन्दाचामी
sahmitro,सहमित्रो
yaunamrit,यौनामृत
smmilin,सम्मिलिन
causeth,हैसियत
upasargpoorvak,उपसर्गपूर्वक
shursingh,शूरसिंह
jalpad,जलपद
sanvidhanik,संविधानिक
archdiocese,आर्कडायोसिस
soleshwar,सोलेश्वर
ghoomait,घूमैत
phirata,फिरता
lokanrityan,लोकनृत्यन
latostone,लेटोस्टोन
goongaapan,गूँगापन
hatthaajodi,हत्थाजोड़ी
bhedabhas,भेदाभास
kulob,कुलब
janinge,जनिंगे
bimedar,बीमेदार
udha,अध
chandravalok,चन्द्रावलोक
badnapurat,बदनापुरात
spokesperson,स्पोकेसपर्सन
virajpet,वीरजापेट
indovement,इन्डोवमेंट
sharmanay,शर्माने
iktedaar,इक्तेदार
versitile,वर्सिटाइल
federpog,फेडरपॉग
nibandhpratiyogita,निबन्धप्रतियोगिता
ipes,आईपीईएस
tairaate,तैराते
laundering,लौंडरिंग
samvednaon,संवेदनाओं
galveston,गलेवेज़्टन
kairap,कैराप
commuted,कम्यूटेड
sabeb,साबेब
bulatdashahar,बुलत्दशहर
judanevaale,जुड़नेवाले
kartavyakartavyon,कर्तव्याकर्तव्यों
maitripurnata,मैत्रीपूर्णता
anutpaad,अनुत्पाद
vulthamsto,वल्थमस्टो
purpaanyaane,पुरपाण्याने
chaubatiyan,चौबटियां
pugalendhi,पुगालेंधी
murashko,मुराशको
portea,पोर्टिया
shishanwane,शीशनवाने
treyodashi,त्रेयोदशी
kudnoorchya,कुदनूरच्या
fam,फैम
suhesh,सुहेश
swasamarpan,स्वसमर्पण
zionism,ज़िओनिज्म
muktibodha,मुक्तिबोध
kesanchya,केसांच्या
palwankar,पालवंकर
arafaa,अरफ़ा
befaida,बेफाइदा
hridayghati,हृदयघाती
uddhav,उद्वव
mahajalplavan,महाजलप्लावन
banodu,बनोडू
chehkele,चहकेले
obstrictive,ऑब्स्ट्रिक्टिव
jyotiparv,ज्योतिपर्व
containerschya,कंटेनर्सच्या
ramraksh,रामरक्ष
punarropanacha,पुनर्रोपणाचा
ghagharjani,घाघरजानी
asalappa,असलप्पा
hunah,हुनाह
injaem,इंजाएम
vilgikarnachi,विलगीकरणाची
fieramilano,फ़ेयेरामिलानो
mariswell,मैरिसवेल
auramaata,औरमाता
kalipratham,कलिप्रथम
bhadauriyan,भदौरियां
vaadvivaadon,वादविवादों
sansthase,संस्थासे
lorain,लोरेन
ksheeranidhi,क्षीरनिधि
kantakosh,कांताकोष
sixes,सिक्स
uttarpatrikechi,उत्तरपत्रिकेची
designers,डिज़ाईनर
dummies,डमीज
mizobe,मिज़ोबे
jugrajpura,जुगराजपुरा
mrityugrast,मृत्युग्रस्त
bantwao,बंटवाओ
jetliners,जेटलाइनर्स
fishermans,फिशरमैन्स
kaarushon,कारुषों
heinz,हेइंज
sabhebabat,सभेबाबत
gashmir,गश्मीर
dhwanishastra,ध्वनिशास्त्र
smederovo,स्मेदेरोवो
kasaiwala,कसाईवाला
samtana,समताना
bondita,बोंदिता
kairolinska,कैरोलिनस्का
eurocon,यूरोकॉन
nitraprin,नाइट्राप्रिन
stabilisation,स्टेबलाइजेशन
ramchandranchi,रामचंद्रांची
pengyu,पेंग्यू
adhikmasachi,अधिकमासाची
tatoliyega,टटोलिएगा
aakaankshee,आकांक्षी
bagroda,बगरोदा
thangaraju,थांगाराजू
umtiti,उमिती
rosella,रोजेला
behn,बहन
prozac,प्रोज़ैक
giridharpur,गिरिधरपुर
dhanshika,धनशिका
ezhimala,एजीमाला
bhilwa,भिलवा
bhandaris,भंडारियों
marvelous,मार्वेल्स
nagvanshee,नागवंशी
ballostic,बैलोस्टिक
paymenet,पेमेनेट
mesertiz,मैसेर्टिज़
gumbazdar,गुम्बजदार
almirante,अल्मीरांते
harsukhrai,हरसुखराय
karegaae,करेगाए
darshanon,दर्शनों
chappadband,चप्पड़बंद
chunkauna,चुनकौना
ejecting,इजेक्टिंग
futurology,फ्यूचरोलॉजी
bhanwarkhol,भंवरखोल
shakarlal,शकरलाल
cranfield,क्रेनफील्ड
brijbhoomi,बृजभूमि
munsari,मुन्सरी
raghavulu,राघवुलू
confidental,कॉन्फिडेंटल
jwaharpur,ज्वाहरपुर
oklosa,ओकलोसा
neelapan,नीलापन
sabhus,सभूस
gemmill,गेम्मिल्ल्
sidepattivaroon,साईडपट्टीवरून
pepraji,पेपराजी
compactive,कॉम्पैक्टिव
viset,वीसैट
machika,माचिका
bayanbir,बयानबीर
jalra,जलरा
attentiveness,एटेंटिवनेस
cuffs,कफ्स
sautaili,सौतैली
appartment,अप्पार्टमेंट
shivcharitra,शिवचरित्र
dushtajanon,दुष्टजनों
asandhimitra,असंधिमित्रा
mckenna,मैक्केना
aarshchayajanak,आर्श्चयजनक
premchang,प्रेमचंद
dendritic,डेंड्राइटिक
kanakiya,कनकिया
dieng,दींग
pulaim,पुलैम
sheetalpeyon,शीतलपेयों
mirdle,मिर्डल
anupayogit,अनुपयोगित
okayam,ओकायाम
gandasaru,गंडासरू
aryaverth,आर्यवर्थ
mastishak,मस्तिषक
vyavsayikanche,व्यावसायिकांचे
meite,मेइते
woorcestershire,वूरसेस्टरशायर
perso,परसो
gorbachouf,गोर्बाचौफ
asamayik,असामयिक
prabandhkaryakarini,प्रबंधकार्यकारिणी
trajectory,ट्रेजेक्ट्री
greams,ग्रीम्स
konniyur,कोन्नियुर
karimullapur,करिमुल्लापुर
baytekin,बैतेकिन
charonkhane,चारोंखाने
davakhanyansah,दवाखान्यांसह
alkaloids,एल्केलाइडों
sshd,एसएसएचडी
tejasache,तेजसचे
bhulaaun,भुलाऊँ
geometrical,ज्योमेट्रिकल
nukile,नुकीले
rewalsar,रिवालसर
